"Average","Name"
279216,"YEAR_2050_AUTO_JB_Region"
52075,"YEAR_2050_AUTO_COMP_BE"
104760,"YEAR_2050_AUTO_COMP_NW"
133063,"YEAR_2050_AUTO_COMP_SW"
152991,"YEAR_2050_AUTO_COMP_ND"
202437,"YEAR_2050_AUTO_COMP_SD"
330767,"YEAR_2050_AUTO_COMP_NSL"
312899,"YEAR_2050_AUTO_COMP_SWSL"
342882,"YEAR_2050_AUTO_COMP_SESL"
278061,"YEAR_2050_AUTO_COMP_POTM"
211402,"YEAR_2050_AUTO_COMP_NU"
218729,"YEAR_2050_AUTO_COMP_CU"
140788,"YEAR_2050_AUTO_COMP_SU"
230366,"YEAR_2050_AUTO_COMP_Region"
1353,"YEAR_2050_TRAN_HH_BE"
1258,"YEAR_2050_TRAN_HH_NW"
8098,"YEAR_2050_TRAN_HH_SW"
3602,"YEAR_2050_TRAN_HH_ND"
4083,"YEAR_2050_TRAN_HH_SD"
20791,"YEAR_2050_TRAN_HH_NSL"
7377,"YEAR_2050_TRAN_HH_SWSL"
13778,"YEAR_2050_TRAN_HH_SESL"
6806,"YEAR_2050_TRAN_HH_POTM"
4418,"YEAR_2050_TRAN_HH_NU"
9643,"YEAR_2050_TRAN_HH_CU"
3027,"YEAR_2050_TRAN_HH_SU"
9199,"YEAR_2050_TRAN_HH_Region"
1512,"YEAR_2050_TRAN_JB_BE"
1673,"YEAR_2050_TRAN_JB_NW"
13672,"YEAR_2050_TRAN_JB_SW"
5766,"YEAR_2050_TRAN_JB_ND"
7593,"YEAR_2050_TRAN_JB_SD"
46352,"YEAR_2050_TRAN_JB_NSL"
13379,"YEAR_2050_TRAN_JB_SWSL"
30156,"YEAR_2050_TRAN_JB_SESL"
15248,"YEAR_2050_TRAN_JB_POTM"
9318,"YEAR_2050_TRAN_JB_NU"
19286,"YEAR_2050_TRAN_JB_CU"
4780,"YEAR_2050_TRAN_JB_SU"
19019,"YEAR_2050_TRAN_JB_Region"
1437,"YEAR_2050_TRAN_COMP_BE"
1470,"YEAR_2050_TRAN_COMP_NW"
10977,"YEAR_2050_TRAN_COMP_SW"
4941,"YEAR_2050_TRAN_COMP_ND"
5900,"YEAR_2050_TRAN_COMP_SD"
32975,"YEAR_2050_TRAN_COMP_NSL"
10714,"YEAR_2050_TRAN_COMP_SWSL"
